user,rating,komentar,timestamp,sentimen,platform
muliono saputra,5,ok...mantab,22/03/2026 10:01,positif,Google Maps
Misbakhul Munir,5,OK SANGAT MEMBANTU SEKALI,22/03/2026 09:56,positif,Google Maps
King112 boykaa,5,mantap,22/03/2026 09:45,positif,Google Maps
Taufik Hidayat,1,udh nunggu 3 jam gak dapet2 driver nya aplikasi keren bngt,22/03/2026 09:39,negatif,Google Maps
Almamta Silaban,5,mantap,22/03/2026 09:38,positif,Google Maps
Budi herawan Herawan,5,oke si tapi klo mau ambil perjalanan jauh suka di cansel alasan nya pulang nya kosong,22/03/2026 09:37,positif,Google Maps
yunik susilawati,5,membantu saat butuh perjalanan,22/03/2026 09:29,positif,Google Maps
Anny Kevin,5,oke selalu menjadi andalan,22/03/2026 09:19,positif,Google Maps
Alie Dive,5,ramah,22/03/2026 09:11,positif,Google Maps
San Tika,5,bagus,22/03/2026 09:09,positif,Google Maps
GANONG OFFICIAL,1,"gak pakai gojek lagi,mahal argo nya sekarang, lebih murah grab",22/03/2026 09:03,negatif,Google Maps
Kasyful Anwar,5,Aplikasi yang nyaman dan tarif aman dikantong,22/03/2026 08:56,positif,Google Maps
Lase Erlina,5,"bagus,ramah dan baik",22/03/2026 08:35,positif,Google Maps
Rhisky Prastyo,2,dan sekarang loading nya lama padahal sinyal full,22/03/2026 08:03,negatif,Google Maps
Agus Liana,5,bagus dan menarik,22/03/2026 07:57,positif,Google Maps
Rahmat Tulloh,5,ok,22/03/2026 07:55,positif,Google Maps
Wiwit Ardianto,5,sangat baik,22/03/2026 07:50,positif,Google Maps
Agus Gunawan,5,"Gocar keren, nyetir nyaman, sopir sopan, berjayalah GOJEK",22/03/2026 07:48,positif,Google Maps
Bastian Bastian,5,ok mantap,22/03/2026 07:48,positif,Google Maps
Ina Watopa,5,sejauh ini baik2 saja.kadang kala bertemu tukang gojek yg sembrono kayak kmrn siang.nyalp2 hampir nabrak 2 kali.semoga makin diperbaiki sikap tukang gojeknya.krn bawa nyawa orang lain,22/03/2026 07:39,positif,Google Maps
Adenan1961,5,good service and fast access,22/03/2026 07:09,positif,Google Maps
Choky Marsell,1,update lagi min . masa ganti tujuan terdekat harga nya Masih sama yg tujuan jauh m,22/03/2026 06:58,negatif,Google Maps
Mohammad Badaruddin,5,gak ribet dan easy use,22/03/2026 06:40,negatif,Google Maps
akun Greb,1,apikasi bi. a. dab,22/03/2026 06:21,negatif,Google Maps
Yasfa Lim,5,luv,22/03/2026 05:30,positif,Google Maps
Mulyanto,5,memuaskan,22/03/2026 05:04,positif,Google Maps
Ai Mangkunagara,5,ramah dan cepat,22/03/2026 05:02,positif,Google Maps
Jonathan Febrian,1,"susah terus cari driver, udh lwt 30 mnit g bsa d batalin mau nya ap coba",22/03/2026 04:53,negatif,Google Maps
Fatimatuz Zahroh,5,aplikasi yang mantap,22/03/2026 03:11,positif,Google Maps
Darma Surya,5,gojek selalu berjaya,22/03/2026 02:03,positif,Google Maps
axel,5,"sulit cari driver kalo pasca lebaran. pemalasan semua driver2. maklum, drivernya cuma orang2 kampung sih",22/03/2026 01:49,positif,Google Maps
Mumun Mumun,5,tetap semangat ABG gojek jaga kesehatan 👍👍👍👍👍👍,22/03/2026 01:25,positif,Google Maps
Iyan Yuliansyah,5,mantap jiwa intinya de....,22/03/2026 01:16,positif,Google Maps
Peri Adrian,1,lama bngt nyari driver nyaa,22/03/2026 01:03,negatif,Google Maps
Ragna 17,1,makin jelek sistemnya,22/03/2026 01:00,negatif,Google Maps
yus mate,1,"HP saya sudah tidak akuntable, sayang sekali membuang customer aktif.",22/03/2026 00:49,negatif,Google Maps
M Syukur IIbrahim Siregar,5,Mantap,22/03/2026 00:47,positif,Google Maps
Balqis Mayka,1,gojek kalo hari lebaran emang ngga ada yang kerja ngga usah buka aplikasi nya orang nahan laper berjam jam dikira enak apa?,22/03/2026 00:27,negatif,Google Maps
Husain Fajmi,1,"mau beli di menu go token, cutoff terus",21/03/2026 23:49,positif,Google Maps
Ozie,5,"bagus, sangat membantu",21/03/2026 23:34,positif,Google Maps
Qina NF,1,nyari makan sulit dibekasi jam segini masih aja aplikasi online tapi driver ngga ada yang mau ambil food 22:45 seharusnya di offline kan saja pelayanan ini khususnya all area bekasi percuma ada GO-FOOD online tapi pelayanan ngga ada 👎👎👎👎👎 ternyata masih banyak driver online udah coba trip GO-RIDE langsung dapat giliran GO-FOOD ble ee seolah ngga ada duitnya cuma 29K padahal sudah disiapin uang lebih buat tip mungkin memang terlalu murah dan banyak potongan jadi malas untuk ambil pesanan,21/03/2026 23:22,negatif,Google Maps
Zahra aulia Syahana,1,SUSAH BGT DPT DRIVER JAM 9 MALEM KE ATAS SUMPAHHHHH PDHL W LG BNR BNR LAPER AMPE 2 KALI BATALIN PESENAN DUH,21/03/2026 23:18,negatif,Google Maps
Rohmat Pujiyoni,1,susah dapat driver pesanan gak bisa di batal kan ini sangat membuat tidak nyaman,21/03/2026 23:17,negatif,Google Maps
emma rahmawati,5,"Apk aman dan terpercaya Insya Allah, apalagi voucher² nya kini semakin banyqk, bepergian kmnpn jadi hemat",21/03/2026 23:04,positif,Google Maps
Deira Rahmawati,1,"baru kali ini kecewa, pesen gofood nunggunya kelamaan mau di batalin pun harus nunggu dulu,mana ga dapet driver 3 kali gmn sih",21/03/2026 23:02,negatif,Google Maps
Winny Andika,1,sekarang susah dapet driver,21/03/2026 23:01,negatif,Google Maps
Limbong Marghana,2,masa harus nunggu 1 jam dulu baru bisa dibatalin aplikasi apaan ini drivernya susah👎,21/03/2026 23:00,negatif,Google Maps
Aulia Tania Putri,1,"susah dapet driver, customer service ga membantu",21/03/2026 22:55,negatif,Google Maps
Muhammad Yusuf Musofa,5,mantap voucher promonya🔥,21/03/2026 22:52,positif,Google Maps
Ayesha,5,driver ramah sekali,21/03/2026 22:47,positif,Google Maps
Isa saepudin,1,busettt pada lagi sibuk apahh pesanan saya nyampe di batalkan udah nunggu 1 jam,21/03/2026 22:41,negatif,Google Maps
Grizelda Runtunuwu,5,selalu membantu dgn harga yg paling bersahabat ☺,21/03/2026 22:30,positif,Google Maps
Roselly Sihotang,5,nyaman,21/03/2026 22:27,positif,Google Maps
Pranka Ajuda,1,"bel1 makan 1 harganya 16rb + ongkir jadi 68rb , kikir amat ongkir nya om mahal bener",21/03/2026 22:24,negatif,Google Maps
Fatan Putra,1,"aduhhh udah nunggu 1 jam, padahal udah waktunya pembatalan pesenan, tiba"" malah dapet driver, bener"" setelah waktunya tiba untuk membatalkan ehh malah dapet driver sebelum nya juga ada pesenan telat ga dapet kompensasi, buang"" waktu aja, saya nunggu loh dari jam 21.12 sampe 22.11, saat masuk ke 22.12 dan waktunya untuk membatalkan pesanan malah dapet driver, cuma buang"" waktu aja, telatnya ini kaya disengaja banget lohh",21/03/2026 22:18,negatif,Google Maps
Coba Lagi,5,Maret 2026 terjadi bug tolong di perbaiki terutama di pet,21/03/2026 22:17,positif,Google Maps
RIO FERDINAND,1,order makanan lama banget satu jam lebihh cs responnya cuman gitu' aja jawabnya!,21/03/2026 21:55,negatif,Google Maps
Star QWE,1,"apa ini pesan makanan 30rb jadi 170rb gak jelas.. mikir mikir bikin aplikasi mana gak biaa di batalkan.. harusnya cari drevernya dl biar bisa negosiasi/ atau pembatalan sebelum 5 mnt pemesanan.. dan bikin tampilan tampilan ""HARGA"" yg jelas sebelum tekan ""OK"" agar gak ad miskomunikasi atau kesalahan...",21/03/2026 21:50,negatif,Google Maps
Damar Maulana,1,susah dapat driver gmn ini,21/03/2026 21:50,negatif,Google Maps
Freya Utama,4,knpa kalo gofood dpt drivernya lama. pasti ku cancel trs. bikin kesel aja,21/03/2026 21:40,negatif,Google Maps
Saepullah,2,"asli kecewa pesen gofood udh 1 jam masi harus nunggu 30mnt,pesen gojek lagi urgnt bngt selalu dicancel sampe 4x capek emosi sewot udh dah",21/03/2026 21:35,negatif,Google Maps
Anastasia berliani Due ladja,5,good,21/03/2026 21:21,positif,Google Maps
Om Birink 80,1,karena pesanan sy dibatalin secara sepihak pd hal sy sdh tggu 50 mnt,21/03/2026 21:20,negatif,Google Maps
Toni Yossino,5,trims gojek,21/03/2026 21:20,positif,Google Maps
FADIL RIZKY18,1,susah dapat Drive nya,21/03/2026 21:19,negatif,Google Maps
Iya Oke,1,gk usah download ini apk pdhl ad driver yg deket nyari yg jauh mending download maxim aja lebih enak #IZIN🫸,21/03/2026 21:18,negatif,Google Maps
achmad ibnu,1,"tolong dong klo gofood, bisa chat dengan restonya. jngn restony aja yg bisa ngechat ke customer. tapi customer jg bisa chat restonya. dan jika sudah dipesan langsung dibuat saja, kenapa harus nunggu driver baru dibuat?",21/03/2026 21:09,negatif,Google Maps
Ibadurrahman Al muhtadi,1,GK worth it,21/03/2026 21:04,negatif,Google Maps
salwajunita,1,"pake promo hemat, driver ga ada yang ambil orderan, sekalinya dapet driver si driver ga langsung jalan alias diem di tempat sampe beberapa menit dulu dan itu buang buang waktu saya, pas ga pake promo hemat tetap sama driver ga ada yang ambil orderan sampe harga nya melejit dulu baru ada yang ambil hadeh!!!",21/03/2026 20:58,negatif,Google Maps
Rahmat akalpokal,5,terimakasih Gojek telah membantu saya pokoknya mantap,21/03/2026 20:51,positif,Google Maps
ahmad majid,1,"aplikasi bodoh.... chating berkali kali d suruh batalkan pemesanan(karna lama nunggu lbh dari estimasi wkt yg d tetapkan), bahkan sdh d tanggapi dlm chat masih jg d antar, sdh jg saya blg coba aplikasi lain klu g ada driver,. akhirnya bayar 2 kali nih,.😡😡😡 tambukkk...!!!!",21/03/2026 20:51,negatif,Google Maps
Choco bear slime,5,bagus sekali,21/03/2026 20:49,positif,Google Maps
Def kara Kara,4,"semoga lebih baik kedepannya, sukses terus untuk kita semua aaaamiiiin",21/03/2026 20:32,positif,Google Maps
Lisa Lia,1,stres ini aplikasi sangat buruk.. parah ga ada yg ambil jelek aplikasinya gila ini aplikasi bikin kecewa banget.. padahal harganya mahal udah pilih prioritas.. kacau jelek,21/03/2026 20:26,negatif,Google Maps
sanijah,5,suka,21/03/2026 20:23,positif,Google Maps
danish ghaisan,1,ditinggal 5 menit harga naik drastis,21/03/2026 20:20,negatif,Google Maps
Vinka Dwi,1,aplikasi oon nunggu lama ga dapet² driver gabisa dibatalin stres,21/03/2026 20:20,negatif,Google Maps
heri ramadhan,1,selalu buruk kalau setiap order saat hujan dan tidak ada perubahan dr dulu,21/03/2026 20:17,negatif,Google Maps
Apriliastari Yuansar,1,susah di cancel padahal nunggu sudah sampai 2 jam rugi waktu,21/03/2026 20:01,negatif,Google Maps
ervino,5,gocar okeee,21/03/2026 19:57,positif,Google Maps
surya kencana,1,sumpah aplikasi paling gak banget susah setengah mati buat cancel padahal Lo yg gak ada driver mana cs nya cuman robot sumpah gua uninstal langsung nih aplikasi,21/03/2026 19:55,negatif,Google Maps
Cinta Kedua,3,"pelayanan driver gocar di kota langsa aceh sangat mengecewakan, nego harga sampai 200% dari harga yang di tetapkan oleh aplikasi, padahal sudah ada voucher, pihak gojek kalau buat voucher gak bisa di terima driver ngapain buat sih..",21/03/2026 19:51,negatif,Google Maps
Fita Fitriani,5,terima kasih sudah mengantarkan budhe saya sampai tujuan dengan selamat,21/03/2026 19:50,positif,Google Maps
Tony Novianto,3,Aplikasi sudah Oke. ongkos / komisi sekarang yang mahal banget. harga ongkir hampir sama dengan harga makanan 🤦‍♂️ Jadinya harga total 2x lipat harga makanan,21/03/2026 19:42,positif,Google Maps
seila Noya Poniman,2,promo pelit biaya mahal,21/03/2026 19:42,negatif,Google Maps
Resti Aminatun,5,ok dah,21/03/2026 19:41,positif,Google Maps
Citra Nunziata rahmawati,1,algoritma goblog...pesan makanan siap saji 1 jam lebih,21/03/2026 19:37,negatif,Google Maps
Hendra Shu,3,lonjakan argonya parah banget 2x lipat. ternyata getok harga juga? parah banget akhirnya gak jadi pesan deh? hadeuh?,21/03/2026 19:32,netral,Google Maps
Abdul Ghofur,2,"Goride : gak cocok buat yang butuh cepet cepet datang, kadang lagi butuh cepet dpt diver malah gadateng dateng diem ditempat aja, ditelpon direject gofood : pencarian drivernya lama banget dan gak bisa dibatalin dengan waktu tertentu",21/03/2026 19:31,negatif,Google Maps
Nurul nunu,3,"sekarang jd susah nyari driver, giliran ditungguin malah PHP, ga ngechat atau ngabarin lg tau-tau udh jauh jaraknya jadi estimasi awal",21/03/2026 19:24,negatif,Google Maps
Arinal Haq,1,"aplikasi susah & buang buang waktu, pesen gofood sudah nunggu lama ga dapet driver dan gabisa dibatalin sbelum waktu cari driver nya, ujung ujungnya dibatalin karna ga ada driver yang ambil",21/03/2026 19:13,negatif,Google Maps
Djenar Mahesa,1,Kalau hujan cacat terus,21/03/2026 19:07,negatif,Google Maps
Monkey D luffi,1,Driver tidak mau jemput di alamat!!!! parah!!!,21/03/2026 19:01,negatif,Google Maps
Mario Ganteng,5,"aplikasi ini sangat membantu saya, kalo lagi males bisa pesen disini, semoga makin banyak diskonnya",21/03/2026 18:53,positif,Google Maps
kusnun Naufal,5,asik,21/03/2026 18:53,positif,Google Maps
Mamahbilla231080@gmail.com Mamahbilla231080@gmail.com,1,driver ny g jls,21/03/2026 18:50,negatif,Google Maps
Ay naa,1,"gojek sekarang jelek banget dan fiks berita ttg para driver yang byk di rugiin pihak aplikasi ternyata bener, soalnya sekarang susah banget cari driver, berarti sudah byk driver yg malas jadi mitra. makanya hargain para driver sebagai mitra, awal kehancuran gojek ketika tidak bisa menghargai driver sebagai mitra.",21/03/2026 18:50,negatif,Google Maps
Zainul Atiq,1,"haduh gojek nih, masa gue udah pake mode percepat + grab prioritas masih aja lama banget sih dapet nya. tolong dong gojek plis lah ya",21/03/2026 18:21,negatif,Google Maps
ririandaa_,5,🤟💗,21/03/2026 18:16,positif,Google Maps
Grizelda Bellvania,1,lamaaaaaaaaa,21/03/2026 18:08,negatif,Google Maps
Billy,1,"Ongkir 2 km Rp 30.000, gojek terbaek👍👍",21/03/2026 17:50,negatif,Google Maps
Yudha Wira,5,ok,21/03/2026 17:43,positif,Google Maps
Eki Febrian,1,"mesen gofood dari jam 5 sore, sampe sekarang belum disiapin minumannya, udh ga ada diskon lagi , bubarin aja ini pt",21/03/2026 17:43,negatif,Google Maps
Hussein Tg,5,good,21/03/2026 17:35,positif,Google Maps
Pasha Rafa27,1,harganya mahal,21/03/2026 17:25,negatif,Google Maps
Aulia Annisa,1,"kebanyakan driver milih"" 😒",21/03/2026 17:24,negatif,Google Maps
Yanto Yuniarto,5,perjalanan yang menyenangkan,21/03/2026 17:20,positif,Google Maps
Pengguna Google,5,bagusssss,21/03/2026 17:12,positif,Google Maps
Stanley Pho,5,keren,21/03/2026 17:04,positif,Google Maps
kator onizuka,1,tutup aj aplikasi ini drivernya ga pada mau ambil,21/03/2026 17:02,negatif,Google Maps
Raditya,1,"maksud lu gimana nge cancel orderan my bini my masa depan , gw boikot lu jek gojek",21/03/2026 16:48,negatif,Google Maps
Rozi Ziro,5,bagus,21/03/2026 16:37,positif,Google Maps
Sahat Manalu,5,sangat epesien,21/03/2026 16:37,positif,Google Maps
Cep Son83,5,mantap,21/03/2026 16:20,positif,Google Maps
Azi nue,2,Drivernya pada sortiran semua,21/03/2026 16:20,negatif,Google Maps
BANG JO,4,sangat membantu sekali,21/03/2026 16:19,positif,Google Maps
Denny Robiyanto,5,keren,21/03/2026 16:03,positif,Google Maps
Jenssen Kanisius,1,"uninstall aja, ga pernah lagi dapat driver untuk semua hal, padahal jalan keluar banyak gw liat driver yang sendiri yg nongkrong, padahal udh hampir sejam tapi gak dapat driver.",21/03/2026 15:56,negatif,Google Maps
eman setiawan,5,"cepat,tepat,dan aman,trimakasih 🙏 Gojek,🙏🙏👍👍",21/03/2026 15:55,positif,Google Maps
Rudi Firmansyah,1,"gk sengaja kepencet skli aja tiba"" motong saldo gopay aneh!",21/03/2026 15:54,negatif,Google Maps
Syaidah Maharani,2,untuk gofood tolong lah klo 30menit ga ada driver yg ambil langsung auto cancel aja gausah nambah waktu cari driver lgi.. kesel gue lgi laper2nya suruh nunggu hampir sejam lebih busett,21/03/2026 15:41,negatif,Google Maps
rikaa,4,"susah banget dapet drivernya, udah ulang berkali-kali tapi tetep susah dapet ck",21/03/2026 15:37,negatif,Google Maps
Ramlan Jeck,5,cukup membantu,21/03/2026 15:30,positif,Google Maps
Pudjono Pudjono,5,ok ramah drivernya Asik,21/03/2026 15:26,positif,Google Maps
Nata Finance,1,"mereka yg gak bisa nyediakan driver, saya masih suruh tunggu sejam lagi baru bisa dibatalin, orang udah laper suruh tunggu sejam kalo kena penyakit mau tanggung jawab apa!! gak jelas!!",21/03/2026 15:21,negatif,Google Maps
Mansur Pakaja,5,saya puas dengan layanan aplikasi ini,21/03/2026 15:12,positif,Google Maps
Dittoks,1,"gajelas, gabisa login padahal jaringan udh bagus",21/03/2026 15:08,negatif,Google Maps
Bilal Akbar,1,sulit dapat driver,21/03/2026 15:06,negatif,Google Maps
Yuri Chan,4,Ok saya kasih bintang 4 hanya saja saya kasih feedback: Bisakah anda kasih fitur Cuaca l,21/03/2026 15:05,positif,Google Maps
Dewede Indra,5,"terimakasi sudah mendengarkan complain saya, tampilan menu sudah bagus,filter sudah bekerja sebagaimana mesti nya,sekali lagi untuk gojek terimakasi karena sudah bertindak cepat ketika seseorang memberikan kritik/saran,👍",21/03/2026 15:02,positif,Google Maps
Hadi Sudrajat,5,sangat membantu,21/03/2026 15:02,positif,Google Maps
Tauhid Ismail,5,the best..................,21/03/2026 14:54,positif,Google Maps
Muhammad Fahrizal,1,drivernya bnyak bacot,21/03/2026 14:51,negatif,Google Maps
gameopini01,1,"pesanan saya tiba"" di cancel",21/03/2026 14:43,negatif,Google Maps
Lailatuz Zahro,1,"gimana sih, pesanan batal tapi saldo ikut ilang, GK jelas bgt aplikasi nya",21/03/2026 14:24,negatif,Google Maps
Arief Amaludin,5,ok & berguna banget,21/03/2026 14:05,positif,Google Maps
Mardan,1,makin ke sini apk gojek ga jelas masa nunggu driver nya lama dan itu pun delver nya banyak,21/03/2026 14:00,negatif,Google Maps
امير سالم,4,ok,21/03/2026 13:47,positif,Google Maps
Zee Zee,5,bagus sih tapi knp ga bisa ganti metode bayar,21/03/2026 13:40,positif,Google Maps
Yuda Lelana,1,pengalaman saya order makanan terlalu mahal semua nya di restonya jadi pemakaian aplikasi gojek sepi para pelanggan pengguna ojek makanan fitur jadi gak bagus harus seperti yang lalu tidak usah di rilis yang simpel aja tidak ada gofood hemat fiturnya seperti yang lama jangan ada fitur piickup dan lainnya👎👎👎,21/03/2026 13:37,negatif,Google Maps
I putu Susuasta,5,sangat sangat membantu,21/03/2026 13:34,positif,Google Maps
Bemi Fadilah,1,"tolong dong kasih fitur rating buat para driver yg suka ngecancel penumpang nya, biar ketauan mana yg males sama engga.. kita udh nunggu lama lama malah main cancel aja.",21/03/2026 13:34,negatif,Google Maps
Yanti Lang,5,pengirimannya cepat dan orangnya jga ramah,21/03/2026 13:30,positif,Google Maps
M zidan Wafri ataya,1,hdehh apk kck udah ada diskon tiba tiba ilang ke ulang,21/03/2026 13:26,negatif,Google Maps
Eka Ramdhani,1,"bagus si apk tapi saya kesel sama drivernya dan aplikasi ini ga bisa aduin drivernya ,pesen gocar udah di boking udah nunggu lama banget tiba tiba di batalin kalou emang lagi dobel jobbialng ,ini bilang nyah malah jauh dari pengantaran di sangka saya mah cuman jauh gitu nyah kandi tambah dari pihak aplikasi juga estimasi sampe jam 12.59 ini malah lebih dari 13. belasan lah maaf kalou saya kasih bitang Satau karna ini sesuai pengalaman saya",21/03/2026 13:24,negatif,Google Maps
Littleshandy,5,oklah,21/03/2026 13:07,positif,Google Maps
Yogi Saputra,5,aplikasi nya mantap,21/03/2026 12:45,positif,Google Maps
Reyhan Setiawan,1,"DIBATALIN SAMA DRIVER TERUS, GA USAH PAKE APLIKASI INI LAGI!!!!!!!",21/03/2026 12:37,negatif,Google Maps
Roberna Purba,1,"Kita Pesan Gojek, Diantar sampai tujuan. apalagi kita yang kerja di Area Mall yang Berlantai2, Harusnya Bisa diantar sampai atas dan Titik Lokasi. Untuk apa kalian Gojek buat alamat Detail Lokasi, tapi kalau tetap di antar sampai Loby. Kita Pesan Gojek Itu mempermudah biar gak capek jalan beli makan. kalau costumer jalan sampe Loby, mending costumer itu beli makan sendiri , jln dikit lagi udh kerumah makan. ngapain pakai jasa kurir. di perbaikilah sop nya tolong. bukan mempermudah, jd sulit",21/03/2026 12:34,positif,Google Maps
Lintang Upzz,1,habis update malah loading terus,21/03/2026 12:24,negatif,Google Maps
Gunawan,5,baik,21/03/2026 12:22,positif,Google Maps
Dhifa Habiebie Rahmadhani,3,"Akhir-akhir ini susah banget mau mesen apa"". driver kagak ada yang mau sama sekali padahal banyak. dah gitu harganya tambah mahal. mesen sampe Berjam"" ga dapet. tolong dong diperbaiki",21/03/2026 12:20,negatif,Google Maps
robbi rakhma,2,"kenapa tampilan gofood jadi ga karuan ya, saya cari list resto terdekat ga ketemu",21/03/2026 12:16,negatif,Google Maps
Azizah Zalzulhijah108,5,bagus,21/03/2026 12:11,positif,Google Maps
Adie Agung,3,kok jd sering tdk konek ke internet.padahal aplikasi yang lain lancar,21/03/2026 12:08,positif,Google Maps
Rubianto Riki,5,bagus kerjanya,21/03/2026 12:07,positif,Google Maps
Ricky.H Lembayung,1,pesan makanan hampir 1 jam ga dpt driver. ga bisa di batalkan. parah!!!!!!!!! Aplikasi ga guna,21/03/2026 12:07,negatif,Google Maps
Indah Hadiati (Indah),5,"alhamdulillah selalu lancar, yang di pesan sampai pengiriman aman",21/03/2026 11:59,positif,Google Maps
Suara Indonesia dua Menit,1,penipuan di Gojek,21/03/2026 11:50,negatif,Google Maps
Alex Eri,1,makin kesini makin jauh n susah dpt drivernya,21/03/2026 11:43,negatif,Google Maps
Muhammad Zacky,1,"APLIKASI LICIK. KASIHAN DRIVER2 DILAPANGAN. GUA CUSTOMER, YANG SEMAKIN KESINI, APLIKASI INI SEMAKIN CURANG DALAM MEMBERIKAN LAYANAN.",21/03/2026 10:30,negatif,Google Maps
ryandt dloverz,1,Mantap dah =D>,21/03/2026 10:28,negatif,Google Maps
Fatimatuz Zahra,1,"nunggu driver lama banget. pas batalin orderan, malah harganya digoreng tinggi banget. kecewa sih jujur",21/03/2026 10:24,negatif,Google Maps
dr eastar,1,lintah darat,21/03/2026 10:23,negatif,Google Maps
Rumah Omaku,5,Responsip,21/03/2026 10:07,positif,Google Maps
Johanis Nontah,5,Baik sekali,21/03/2026 10:05,positif,Google Maps
rin,1,"APK JELEKKK DRIVER GAJELAS SO IYA GAMAU AMBIL ORDERAN. BINTANG 1, JELEK GA MEMBANTU SAMA SEKALI.",21/03/2026 09:55,negatif,Google Maps
anton wiyono,1,LEBARAN GAK ADA LONJAKAN GOFOOD SAMA SEKALI..AUTO OFF BID MASAL DRIVERMU...MAMPUS CUSTOMERMU GAK MAKAN..AUTO PINDAH KE GRAB/SHOPEE...,21/03/2026 09:38,negatif,Google Maps
Yusuf Bagja Zayana Sumampouw,1,penyakit tiap lebaran gada yang mau ngambil😂,21/03/2026 09:36,negatif,Google Maps
ANDIS WIJAYA,2,"“Saya kesulitan mendapatkan driver, sudah menunggu lama tapi tidak ada yang menerima order. Mohon diperbaiki sistemnya karena sangat mengganggu.” terimakasih",21/03/2026 09:29,negatif,Google Maps
SULUNG PAMBRASTO,1,Belakangan ini saya kesulitan mencari driver. Tolong perbaiki aplikasi Gojek sekarang!,21/03/2026 09:13,negatif,Google Maps
Anas Anas,5,okkkk,21/03/2026 08:52,positif,Google Maps
Tarisa Kiting,4,cepat,21/03/2026 08:14,positif,Google Maps
Syamsul Anchu,5,lancar dan aman,21/03/2026 07:46,positif,Google Maps
Pretty ayaa,5,the best🤍,21/03/2026 07:29,positif,Google Maps
Vera Wati,1,drivernya cabul,21/03/2026 07:23,negatif,Google Maps
Casmudi Budi,5,ramah dan tepat waktu,21/03/2026 07:07,positif,Google Maps
Alwa Amanda,5,"orangnya ramah, pelayanan nya bagus",21/03/2026 06:38,positif,Google Maps
Coms Cieanakmamih,5,sangat membangu,21/03/2026 06:37,positif,Google Maps
Adinda Meru,1,"Ga pernah cepat dapat driver kalau pakai aplikasi ini, driver gojek dibali sok semua!!",21/03/2026 06:13,positif,Google Maps
Lestari Cerry,1,"sy mau komplen atas oknum driver gocar yg sy pesan,sy lupa screen shoot .tp dia tlp sy punya bukti rekamannya marah gara2 sy ga balas chat dia sdngkan sy lagi ada kesibukan nyiapkan anak2 saya.di chatnya bilang alamat ga jelas.""niat pesen tidak sih dengan nada marah"".apakah d aplikasi kalian ga ada petunjuk jalannya kah? kemana sy komplenya?d aplikasi aktivitas riwayat pemesanan d bantuan ga bisa nulis keluhan saya.",21/03/2026 05:59,negatif,Google Maps
Trisa Trisa,5,sangat memuaskan,21/03/2026 05:39,positif,Google Maps
Songga lucky,1,tiba tiba gak konek padahal jaringannya bagus,21/03/2026 04:50,negatif,Google Maps
attarik mesias,1,"ajg susah bgt nyari kang gojek udh maj dapet otg nya ga berangkat"" ketiduran",21/03/2026 04:26,negatif,Google Maps
Ronaldhy R,5,Mantap,21/03/2026 03:54,positif,Google Maps
RUMAH KOST BATU ALAM,5,top,21/03/2026 03:26,positif,Google Maps
Muhammad sukri,5,pengen daftar gojek cuma ga ngerti caranya 🥲,21/03/2026 03:24,positif,Google Maps
Nurul Riswanto,5,pelayanan jasa yang bagus,21/03/2026 03:09,positif,Google Maps
Raisa Clarisa,1,"sering banget di abaikan sama driver gocar,, alasan mau bab lah, macet lah ..bla bla bla....tidak profesional...padahal kita sudah lama menunggu driver tidak ada balasan menjawab chat ataupun telpon kami...sangaaat mengecewakan !!!!",21/03/2026 02:10,negatif,Google Maps
Handoyo Limmarga,1,saat ini tidak bisa buka go cat mohon diperbaiki.terima kasih,21/03/2026 01:55,positif,Google Maps
Teuku Muhammad ARAVIT25,5,kok ga bisa yah,21/03/2026 01:50,positif,Google Maps
Sari Kd,5,sangat memuaskan,21/03/2026 01:09,positif,Google Maps
Meja Besi,5,Mantap,21/03/2026 00:57,positif,Google Maps
Kiki Sinaga,5,the best,21/03/2026 00:54,positif,Google Maps
rizka nurunnisa,5,sangat membantu,21/03/2026 00:41,positif,Google Maps
Sulaiman Iman,5,good👍,21/03/2026 00:38,positif,Google Maps
Fazz 24,1,"proses go food lama dan tidak bisa di batalkan, kalo pun harua di batalkan harus lewat tlp dimana blm tentu bisa ambil keputusan secara cepat.",21/03/2026 00:34,negatif,Google Maps
Robi Sugi,5,alhamdulillah bisa pakai aplikasi gojek lagi,21/03/2026 00:33,positif,Google Maps
syaiful hexa,5,"mantap, sangat membantu",20/03/2026 23:56,positif,Google Maps
Badhil Eight6,5,ok,20/03/2026 23:41,positif,Google Maps
Farha Hasanah,5,tengkyu gojek,20/03/2026 23:38,positif,Google Maps
Hartanto Fito,5,like,20/03/2026 23:36,positif,Google Maps
Zivana Putri,5,👍🏻👍🏻👍🏻👍🏻👍🏻,20/03/2026 23:04,positif,Google Maps
wulan maria22,5,bagus,20/03/2026 22:50,positif,Google Maps
Darman Bejo,1,makin lama pake gojek makin gk jls..,20/03/2026 22:49,negatif,Google Maps
Mr. Boy,5,makasih,20/03/2026 22:49,positif,Google Maps
Hendri Budianto,5,mantap,20/03/2026 22:43,positif,Google Maps
wida Lilfirdaus,5,banyak membantu saya saat sakit,20/03/2026 22:22,positif,Google Maps
Muh Irfan Berutu,5,lebih mudah dan praktis,20/03/2026 22:19,positif,Google Maps
Asep Ipung,5,"gojek emang top,, cuma tolong diperbaiki sinyal nya kadang sering lemot",20/03/2026 22:13,positif,Google Maps
Andres Kasep,5,mantap,20/03/2026 22:07,positif,Google Maps
